DATE,UST_10Y,CCPI,UNEMP,3M_SUG
1/2/62,4.06,30.04,5.8,1
1/3/62,4.03,30.04,5.8,1
1/4/62,3.99,30.04,5.8,1
1/5/62,4.02,30.04,5.8,1
1/8/62,4.03,30.04,5.8,1
1/9/62,4.05,30.04,5.8,1
1/10/62,4.07,30.04,5.8,1
1/11/62,4.08,30.04,5.8,1
1/12/62,4.08,30.04,5.8,1
1/15/62,4.1,30.04,5.8,1
1/16/62,4.13,30.04,5.8,1
1/17/62,4.12,30.04,5.8,1
1/18/62,4.11,30.04,5.8,1
1/19/62,4.11,30.04,5.8,1
1/22/62,4.09,30.04,5.8,1
1/23/62,4.11,30.04,5.8,1
1/24/62,4.1,30.04,5.8,0
1/25/62,4.11,30.04,5.8,1
1/26/62,4.11,30.04,5.8,1
1/29/62,4.12,30.04,5.8,1
1/30/62,4.11,30.04,5.8,1
1/31/62,4.1,30.11,5.5,1
2/1/62,4.09,30.11,5.5,1
2/2/62,4.08,30.11,5.5,1
2/5/62,4.07,30.11,5.5,1
2/6/62,4.06,30.11,5.5,1
2/7/62,4.07,30.11,5.5,1
2/8/62,4.07,30.11,5.5,1
2/9/62,4.05,30.11,5.5,1
2/12/62,4.05,30.11,5.5,0
2/13/62,4.03,30.11,5.5,1
2/14/62,4.03,30.11,5.5,1
2/15/62,4.02,30.11,5.5,1
2/16/62,4.02,30.11,5.5,1
2/19/62,4.01,30.11,5.5,1
2/20/62,4.05,30.11,5.5,1
2/21/62,4.03,30.11,5.5,1
2/22/62,4.03,30.11,5.5,0
2/23/62,4.02,30.11,5.5,1
2/26/62,4,30.11,5.5,0
2/27/62,4.01,30.11,5.5,1
2/28/62,4,30.17,5.6,0
3/1/62,3.98,30.17,5.6,0
3/2/62,3.98,30.17,5.6,0
3/5/62,4,30.17,5.6,0
3/6/62,4.01,30.17,5.6,0
3/7/62,4,30.17,5.6,1
3/8/62,3.98,30.17,5.6,0
3/9/62,3.96,30.17,5.6,0
3/12/62,3.94,30.17,5.6,0
3/13/62,3.92,30.17,5.6,0
3/14/62,3.93,30.17,5.6,0
3/15/62,3.96,30.17,5.6,0
3/16/62,3.96,30.17,5.6,0
3/19/62,3.93,30.17,5.6,0
3/20/62,3.91,30.17,5.6,0
3/21/62,3.86,30.17,5.6,0
3/22/62,3.83,30.17,5.6,0
3/23/62,3.87,30.17,5.6,0
3/26/62,3.89,30.17,5.6,0
3/27/62,3.9,30.17,5.6,0
3/28/62,3.9,30.17,5.6,0
3/29/62,3.9,30.17,5.6,0
3/30/62,3.86,30.21,5.6,0
4/2/62,3.86,30.21,5.6,0
4/3/62,3.83,30.21,5.6,0
4/4/62,3.78,30.21,5.6,0
4/5/62,3.84,30.21,5.6,0
4/6/62,3.81,30.21,5.6,0
4/9/62,3.83,30.21,5.6,0
4/10/62,3.83,30.21,5.6,0
4/11/62,3.87,30.21,5.6,0
4/12/62,3.86,30.21,5.6,0
4/13/62,3.85,30.21,5.6,0
4/16/62,3.83,30.21,5.6,0
4/17/62,3.82,30.21,5.6,0
4/18/62,3.81,30.21,5.6,0
4/19/62,3.82,30.21,5.6,0
4/20/62,3.82,30.21,5.6,0
4/23/62,3.86,30.21,5.6,0
4/24/62,3.87,30.21,5.6,0
4/25/62,3.88,30.21,5.6,0
4/26/62,3.89,30.21,5.6,0
4/27/62,3.86,30.21,5.6,0
4/30/62,3.86,30.24,5.5,0
5/1/62,3.85,30.24,5.5,0
5/2/62,3.86,30.24,5.5,0
5/3/62,3.86,30.24,5.5,0
5/4/62,3.87,30.24,5.5,0
5/7/62,3.86,30.24,5.5,0
5/8/62,3.85,30.24,5.5,0
5/9/62,3.82,30.24,5.5,0
5/10/62,3.83,30.24,5.5,0
5/11/62,3.82,30.24,5.5,0
5/14/62,3.85,30.24,5.5,0
5/15/62,3.87,30.24,5.5,0
5/16/62,3.86,30.24,5.5,0
5/17/62,3.87,30.24,5.5,0
5/18/62,3.93,30.24,5.5,0
5/21/62,3.94,30.24,5.5,0
5/22/62,3.93,30.24,5.5,0
5/23/62,3.91,30.24,5.5,0
5/24/62,3.9,30.24,5.5,0
5/25/62,3.88,30.24,5.5,0
5/28/62,3.87,30.24,5.5,0
5/29/62,3.89,30.24,5.5,0
5/30/62,3.89,30.24,5.5,0
5/31/62,3.9,30.21,5.5,0
6/1/62,3.89,30.21,5.5,0
6/4/62,3.88,30.21,5.5,0
6/5/62,3.89,30.21,5.5,0
6/6/62,3.89,30.21,5.5,0
6/7/62,3.87,30.21,5.5,0
6/8/62,3.86,30.21,5.5,0
6/11/62,3.87,30.21,5.5,0
6/12/62,3.86,30.21,5.5,0
6/13/62,3.87,30.21,5.5,0
6/14/62,3.9,30.21,5.5,0
6/15/62,3.89,30.21,5.5,1
6/18/62,3.91,30.21,5.5,0
6/19/62,3.93,30.21,5.5,0
6/20/62,3.92,30.21,5.5,0
6/21/62,3.9,30.21,5.5,0
6/22/62,3.9,30.21,5.5,0
6/25/62,3.95,30.21,5.5,1
6/26/62,3.97,30.21,5.5,1
6/27/62,3.96,30.21,5.5,1
6/28/62,3.98,30.21,5.5,1
6/29/62,4,30.22,5.4,1
